Product Page,Product URL,Title,Description,Product Type,Tags,Categories,Visible,Hosted Image URLs,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Price,Sale Price,On Sale,Weight,Length,Width,Height,Stock
/shop/accessories/,Tadelakt-Ivory-Bowl,Tadelakt Ivory | Bowl,"<p style=""white-space: pre-wrap;"">The craft of tadelakt is a Moroccan tradition, using lime from The Marrakech Plateau, where the original tadelakt lime can be found. That's where the word ""tadelakt"" comes from, it means ""to rub in"", where olive soap is rubbed in resulting in a hydrophobic lime plaster used on both the interior and exteriors of buildings. Tadelakt has a luxurious, soft, undulating character, and our vessels add the perfect dose of the exotic texture alone on a shelf or clustered on a console. As a result of the handmade nature of tadelakt, there can be slight variations in size and shape.</p><p style=""white-space: pre-wrap;"">W 13” x D 13” x H 5.5”</p>",PHYSICAL,,Decorative Objects,TRUE,"https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b74a2be40ec9a0fc38d99ac/5b8010184ae2370aaf279eb5/1555011389770/Tadelakt+Bowl+White.jpg, https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b74a2be40ec9a0fc38d99ac/5b801ad3898583f69028df86/1555011389779/TadelaktIvoryandBlack.jpg",42,,,,,,,225.00 USD,0.00 USD,,7,13,13,6,10
/shop/accessories/,Tadelakt-Black-Round-Medium,Tadelakt  Black | Round | Medium,"<p style=""white-space: pre-wrap;"">The craft of tadelakt is a Moroccan tradition, using lime from The Marrakech Plateau, where the original tadelakt lime can be found. That's where the word ""tadelakt"" comes from, it means ""to rub in"", where olive soap is rubbed in resulting in a hydrophobic lime plaster used on both the interior and exteriors of buildings. Tadelakt has a luxurious, soft, undulating character, and our vessels add the perfect dose of the exotic texture alone on a shelf or clustered on a console. As a result of the handmade nature of tadelakt, there can be slight variations in size and shape.</p><p style=""white-space: pre-wrap;"">W 8” x D 8” x H 10”</p>",PHYSICAL,,Decorative Objects,TRUE,"https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b74a2be40ec9a0fc38d99ac/5b8016442b6a288e3a8ea7f4/1554575212055/Tadelakt+Round+Vase+Medium+Black.jpg, https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b74a2be40ec9a0fc38d99ac/5b80187a0ebbe8d5b4a0262a/1554575212075/TadelaktIvoryandBlack.jpg, https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b74a2be40ec9a0fc38d99ac/5b8018b1575d1f9d10bd7397/1554575212069/TadelaktIvoryandBlack.jpg",43,,,,,,,215.00 USD,0.00 USD,,8,8,8,10,5
/shop/accessories/,Tadelakt-Ivory-Round-Medium,Tadelakt Ivory | Round | Medium,"<p style=""white-space: pre-wrap;"">The craft of tadelakt is a Moroccan tradition, using lime from The Marrakech Plateau, where the original tadelakt lime can be found. That's where the word ""tadelakt"" comes from, it means ""to rub in"", where olive soap is rubbed in resulting in a hydrophobic lime plaster used on both the interior and exteriors of buildings. Tadelakt has a luxurious, soft, undulating character, and our vessels add the perfect dose of the exotic texture alone on a shelf or clustered on a console. As a result of the handmade nature of tadelakt, there can be slight variations in size and shape.</p><p style=""white-space: pre-wrap;"">W 8” x D 8” x H 10”</p>",PHYSICAL,,Decorative Objects,TRUE,"https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b74a2be40ec9a0fc38d99ac/5b80172c898583f69028ae96/1545848174728/Tadelakt+Round+Vase+Medium+White.jpg, https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b74a2be40ec9a0fc38d99ac/5b801871f950b78f7d111f52/1545848174526/TadelaktIvoryandBlack.jpg",45,,,,,,,215.00 USD,0.00 USD,,8,8,8,10,15
/shop/accessories/,Tadelakt-Black-Round-Large,Tadelakt Black | Round | Large,"<p style=""white-space: pre-wrap;"">The craft of tadelakt is a Moroccan tradition, using lime from The Marrakech Plateau, where the original tadelakt lime can be found. That's where the word ""tadelakt"" comes from, it means ""to rub in"", where olive soap is rubbed in resulting in a hydrophobic lime plaster used on both the interior and exteriors of buildings. Tadelakt has a luxurious, soft, undulating character, and our vessels add the perfect dose of the exotic texture alone on a shelf or clustered on a console. As a result of the handmade nature of tadelakt, there can be slight variations in size and shape.</p><p style=""white-space: pre-wrap;"">W 10” x D 10” x H 13”</p>",PHYSICAL,,Decorative Objects,TRUE,"https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b74a2be40ec9a0fc38d99ac/5b8018274ae2370aaf27f4e4/1545847848424/Tadelakt+Round+Vase+Large+Black.jpg, https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b74a2be40ec9a0fc38d99ac/5b8018491ae6cf162dce1795/1545847848424/TadelaktIvoryandBlack.jpg",46,,,,,,,245.00 USD,0.00 USD,,8,10,10,13,1
/shop/accessories/,tadelakt-blue-round-large-rwlr7,Tadelakt Ivory | Round | Large,"<p style=""white-space: pre-wrap;"">The craft of tadelakt is a Moroccan tradition, using lime from The Marrakech Plateau, where the original tadelakt lime can be found. That's where the word ""tadelakt"" comes from, it means ""to rub in"", where olive soap is rubbed in resulting in a hydrophobic lime plaster used on both the interior and exteriors of buildings. Tadelakt has a luxurious, soft, undulating character, and our vessels add the perfect dose of the exotic texture alone on a shelf or clustered on a console. As a result of the handmade nature of tadelakt, there can be slight variations in size and shape.</p><p style=""white-space: pre-wrap;"">W 10” x D 10” x H 13”</p>",PHYSICAL,,Decorative Objects,TRUE,"https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b74a2be40ec9a0fc38d99ac/5be1e3726d2a73dfb3fdfc87/1544896481596/Tadelakt+Round+Vase+Large+White.jpg, https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b74a2be40ec9a0fc38d99ac/5be1e165c2241b9d224eb461/1544896481601/TadelaktIvoryandBlack.jpg",48,,,,,,,245.00 USD,0.00 USD,,8,10,10,13,1
/shop/accessories/,Tadelakt-Ivory-Funnel,Tadelakt Ivory | Funnel,"<p style=""white-space: pre-wrap;"">The craft of tadelakt is a Moroccan tradition, using lime from The Marrakech Plateau, where the original tadelakt lime can be found. That's where the word ""tadelakt"" comes from, it means ""to rub in"", where olive soap is rubbed in resulting in a hydrophobic lime plaster used on both the interior and exteriors of buildings. Tadelakt has a luxurious, soft, undulating character, and our vessels add the perfect dose of the exotic texture alone on a shelf or clustered on a console. As a result of the handmade nature of tadelakt, there can be slight variations in size and shape. As a result of the handmade nature of tadelakt, there can be slight variations in size and shape.</p><p style=""white-space: pre-wrap;"">W 7” x D 7” x H 14”</p>",PHYSICAL,,Decorative Objects,TRUE,"https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b74a2be40ec9a0fc38d99ac/5b80268fc2241bb63032b039/1541530994090/Tadelakt+Funnel+Vase+White.jpg, https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b74a2be40ec9a0fc38d99ac/5b802693aa4a99d40b7bcf3b/1541530994095/TadelaktIvoryandBlack.jpg",52,,,,,,,245.00 USD,0.00 USD,,7,7,7,14,8
/shop/accessories/,Tadelakt-Black-Chemistry,Tadelakt  Black | Chemistry,"<p style=""white-space: pre-wrap;"">The craft of tadelakt is a Moroccan tradition, using lime from The Marrakech Plateau, where the original tadelakt lime can be found. That's where the word ""tadelakt"" comes from, it means ""to rub in"", where olive soap is rubbed in resulting in a hydrophobic lime plaster used on both the interior and exteriors of buildings. Tadelakt has a luxurious, soft, undulating character, and our vessels add the perfect dose of the exotic texture alone on a shelf or clustered on a console. As a result of the handmade nature of tadelakt, there can be slight variations in size and shape.</p><p style=""white-space: pre-wrap;"">W 9” x D 9” x H 16”</p>",PHYSICAL,,Decorative Objects,TRUE,"https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b74a2be40ec9a0fc38d99ac/5b80279a352f533673f7a583/1535125411777/Tadelakt+Chemistry+Vase+Black.jpg, https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b74a2be40ec9a0fc38d99ac/5b8027224fa51a04001ab550/1535125295666/TadelaktIvoryandBlack.jpg",53,,,,,,,295.00 USD,0.00 USD,,8,9,9,16,14
/shop/accessories/,Tadelakt-Ivory-Chemistry,Tadelakt Ivory | Chemistry,"<p style=""white-space: pre-wrap;"">The craft of tadelakt is a Moroccan tradition, using lime from The Marrakech Plateau, where the original tadelakt lime can be found. That's where the word ""tadelakt"" comes from, it means ""to rub in"", where olive soap is rubbed in resulting in a hydrophobic lime plaster used on both the interior and exteriors of buildings. Tadelakt has a luxurious, soft, undulating character, and our vessels add the perfect dose of the exotic texture alone on a shelf or clustered on a console. As a result of the handmade nature of tadelakt, there can be slight variations in size and shape.</p><p style=""white-space: pre-wrap;"">W 9” x D 9” x H 16”</p>",PHYSICAL,,Decorative Objects,TRUE,"https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b74a2be40ec9a0fc38d99ac/5b80275c352f533673f7a311/1541531268553/Tadelakt+Ivory+%7C+Chemistry.jpg, https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b74a2be40ec9a0fc38d99ac/5b802761352f533673f7a34b/1541531268557/TadelaktIvoryandBlack.jpg",55,,,,,,,295.00 USD,0.00 USD,,10,9,9,16,13
/shop/accessories/,Indigo-Tumbler-Vase,Indigo Tumbler Vase,"<p style=""white-space: pre-wrap;"">Our indigo tumbler vase is inspired by classic fabric patterns and Piranesi etchings. Hand made in Brooklyn, NY, the artist balances form with rich color and surface, giving each vase graceful lines and proportions.  </p><p style=""white-space: pre-wrap;"">W 3.25"" x D 3.25"" x H 8""</p>",PHYSICAL,,Decorative Objects,TRUE,"https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b74a2be40ec9a0fc38d99ac/5b805bff4d7a9cb23e4333f4/1544329046777/Indigo+Tumbler+Vase_Group.jpg, https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b74a2be40ec9a0fc38d99ac/5b805c0040ec9a19793b4a19/1544329046779/Indigo+Tumbler+Vase.jpg",56,,,,,,,175.00 USD,0.00 USD,,0,0,0,0,4
/shop/home-fragrance-and-candlelight/,"Bergamot-Dishwashing-Liquid,-500-ml-LQVBRG500","Bergamot Dishwashing Liquid, 500 ml LQVBRG500","<p style=""white-space: pre-wrap;"">An exquisite dishwashing liquid(500ml) that respects the environment, takes care of your hands, and protects beautiful ceramics and other precious objects.Not tested on animals.<br></p><ul data-rte-list=""default""><li><p style=""white-space: pre-wrap;"">Price: $21.00</p></li><li><p style=""white-space: pre-wrap;"">Dimensions: 2.4x2.4x8.9</p></li><li><p style=""white-space: pre-wrap;"">To Purchase: Email us at hello@dixonrye.com or call the shop at 404-883-3939 and we'll be happy to help you with your order.</p></li></ul><p data-rte-preserve-empty=""true"" style=""white-space: pre-wrap;""></p>",PHYSICAL,,Scented,TRUE,https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b76f0b21ae6cfbc7953017e/59680005579fb3a012788832/1544329074796/LQVBRG500+-+%5BB%5D%5B2015-01-29%5D.jpg,68,,,,,,,21.00 USD,0.00 USD,,0.5,2.4,2.4,8.9,Unlimited
